=== n=4 oracle sweep START 2026-06-24T23:54:33+02:00  parallelism=12  -Xmx12g  per-step=5400s ===
log: sweep-logs/n4-sweep-20260624-235433.log

############### maxSize=26  started 2026-06-24T23:54:33+02:00 ###############
DischargeRProbe: PARALLEL generate-all enumerateSymbolsParallel(maxN=4, maxSize=26, parallelism=12) ...
  [maxSize=28] 315s  dsets=24084458 (76455/s)  distinct=29
  [maxSize=28] 330s  dsets=25269661 (76571/s)  distinct=30
  [maxSize=28] 345s  dsets=26494936 (76793/s)  distinct=30
  [maxSize=28] 360s  dsets=28055154 (77927/s)  distinct=30
  [maxSize=28] 375s  dsets=29049635 (77462/s)  distinct=30
  [maxSize=28] 390s  dsets=30176236 (77372/s)  distinct=30
  [maxSize=28] 405s  dsets=31300909 (77283/s)  distinct=30
  [maxSize=28] 420s  dsets=32345568 (77010/s)  distinct=30
  [maxSize=28] 435s  dsets=33265923 (76470/s)  distinct=30
  [maxSize=28] 450s  dsets=34428896 (76505/s)  distinct=30
  [maxSize=28] 465s  dsets=35432116 (76195/s)  distinct=30
  [maxSize=28] 480s  dsets=36509036 (76057/s)  distinct=30
  [maxSize=28] 495s  dsets=37446654 (75647/s)  distinct=30
  [maxSize=28] 510s  dsets=38399778 (75291/s)  distinct=30
  [maxSize=28] 525s  dsets=39290807 (74837/s)  distinct=30
  [maxSize=28] 540s  dsets=40503315 (75003/s)  distinct=30
  [maxSize=28] 555s  dsets=41520087 (74808/s)  distinct=30
  [maxSize=28] 570s  dsets=42458878 (74486/s)  distinct=30
  [maxSize=28] 585s  dsets=43256715 (73940/s)  distinct=30
  [maxSize=28] 600s  dsets=44264058 (73771/s)  distinct=30
  [maxSize=28] 615s  dsets=45306435 (73666/s)  distinct=30
  [maxSize=28] 630s  dsets=46419705 (73679/s)  distinct=31
  [maxSize=28] 645s  dsets=47524681 (73679/s)  distinct=32
  [maxSize=28] 660s  dsets=48686060 (73764/s)  distinct=32
  [maxSize=28] 675s  dsets=49953838 (74003/s)  distinct=32
  [maxSize=28] 690s  dsets=51128214 (74096/s)  distinct=32
  [maxSize=28] 705s  dsets=52173527 (74002/s)  distinct=32
  [maxSize=28] 720s  dsets=53134887 (73796/s)  distinct=32
  [maxSize=28] 735s  dsets=54203708 (73744/s)  distinct=32
  [maxSize=28] 750s  dsets=55397338 (73860/s)  distinct=32
  [maxSize=28] 765s  dsets=56403484 (73727/s)  distinct=32
  [maxSize=28] 780s  dsets=57494085 (73708/s)  distinct=32
  [maxSize=28] 795s  dsets=58440144 (73507/s)  distinct=32
  [maxSize=28] 810s  dsets=59254709 (73151/s)  distinct=32
  [maxSize=28] 825s  dsets=59981833 (72703/s)  distinct=32
  [maxSize=28] 840s  dsets=60663689 (72216/s)  distinct=33
  [maxSize=28] 855s  dsets=61361432 (71765/s)  distinct=33
  [maxSize=28] 870s  dsets=62108787 (71387/s)  distinct=35
  [maxSize=28] 885s  dsets=63003750 (71188/s)  distinct=35
  [maxSize=28] 900s  dsets=64134019 (71257/s)  distinct=35
  [maxSize=28] 915s  dsets=65212653 (71268/s)  distinct=35
  [maxSize=28] 930s  dsets=66363074 (71356/s)  distinct=35
  [maxSize=28] 945s  dsets=67222356 (71132/s)  distinct=35
  [maxSize=28] 960s  dsets=68365718 (71212/s)  distinct=35
  [maxSize=28] 975s  dsets=69317883 (71093/s)  distinct=35
  [maxSize=28] 990s  dsets=70291690 (70999/s)  distinct=35
  [maxSize=28] 1005s  dsets=71184459 (70828/s)  distinct=36
  [maxSize=28] 1020s  dsets=72081049 (70665/s)  distinct=36
  [maxSize=28] 1035s  dsets=73025127 (70553/s)  distinct=36
  [maxSize=28] 1050s  dsets=73972994 (70448/s)  distinct=36
  [maxSize=28] 1065s  dsets=75221572 (70628/s)  distinct=36
  [maxSize=28] 1080s  dsets=76280198 (70627/s)  distinct=36
  [maxSize=28] 1095s  dsets=77434078 (70713/s)  distinct=36
  [maxSize=28] 1110s  dsets=78470603 (70692/s)  distinct=36
  [maxSize=28] 1125s  dsets=79440723 (70611/s)  distinct=36
  [maxSize=28] 1140s  dsets=80406793 (70530/s)  distinct=36
  [maxSize=28] 1155s  dsets=81255552 (70349/s)  distinct=36
  [maxSize=28] 1170s  dsets=82222770 (70273/s)  distinct=38
  [maxSize=28] 1185s  dsets=83220943 (70226/s)  distinct=38
  [maxSize=28] 1200s  dsets=84217334 (70179/s)  distinct=38
  [maxSize=28] 1215s  dsets=85339690 (70236/s)  distinct=40
  [maxSize=28] 1230s  dsets=86589242 (70395/s)  distinct=40
  [maxSize=28] 1245s  dsets=87572528 (70337/s)  distinct=40
  [maxSize=28] 1260s  dsets=88444154 (70191/s)  distinct=40
  [maxSize=28] 1275s  dsets=89625296 (70292/s)  distinct=41
  [maxSize=28] 1290s  dsets=90845187 (70420/s)  distinct=41
  [maxSize=28] 1305s  dsets=92013799 (70506/s)  distinct=41
  [maxSize=28] 1320s  dsets=92996368 (70449/s)  distinct=41
  [maxSize=28] 1335s  dsets=94190550 (70552/s)  distinct=41
  [maxSize=28] 1350s  dsets=95359330 (70634/s)  distinct=41
  [maxSize=28] 1365s  dsets=96546873 (70728/s)  distinct=41
  [maxSize=28] 1380s  dsets=97477103 (70633/s)  distinct=41
  [maxSize=28] 1395s  dsets=98532581 (70630/s)  distinct=42
  [maxSize=28] 1410s  dsets=99731369 (70729/s)  distinct=42
  [maxSize=28] 1425s  dsets=100736438 (70690/s)  distinct=43
  [maxSize=28] 1440s  dsets=101792800 (70687/s)  distinct=44
  [maxSize=28] 1455s  dsets=102744111 (70612/s)  distinct=44
  [maxSize=28] 1470s  dsets=103951077 (70713/s)  distinct=44
  [maxSize=28] 1485s  dsets=105218290 (70852/s)  distinct=45
  [maxSize=28] 1500s  dsets=106363385 (70906/s)  distinct=45
  [maxSize=28] 1515s  dsets=107501721 (70956/s)  distinct=45
  [maxSize=28] 1530s  dsets=108609884 (70984/s)  distinct=45
  [maxSize=28] 1545s  dsets=109426795 (70824/s)  distinct=45
  [maxSize=28] 1560s  dsets=110392537 (70762/s)  distinct=45
  [maxSize=28] 1575s  dsets=111569956 (70836/s)  distinct=46
  [maxSize=28] 1590s  dsets=112682641 (70867/s)  distinct=46
  [maxSize=28] 1605s  dsets=113921018 (70976/s)  distinct=46
  [maxSize=28] 1620s  dsets=115022201 (70999/s)  distinct=46
  [maxSize=28] 1635s  dsets=116012891 (70953/s)  distinct=46
  [maxSize=28] 1650s  dsets=117105953 (70971/s)  distinct=46
  [maxSize=28] 1665s  dsets=118518717 (71180/s)  distinct=46
  [maxSize=28] 1680s  dsets=119761571 (71284/s)  distinct=46
  [maxSize=28] 1695s  dsets=120740928 (71231/s)  distinct=48
